"Source:","C:\Customers\Dustin\SensorNodes\STM32\EE\Nucleo_L152RE\ProtoBoard\AA\ProtoBoard.sch"
"Date:","4/6/2015 9:12:12 PM"
"Tool:","Eeschema (2015-03-26 BZR 5542)-product"
"Generator:","dustin_bom_csv_grouped_by_value_with_fp.py"
"Component Count:","115"
"Ref","Quantity","Value","Cmp name","Footprint","Description","Vendor","Datasheet","Digikey Part Number","Digikey URL","Mouser Part Number","Mouser URL","Ebay"
"C1, ","1","0.1u","C_Small","Capacitors_SMD:C_0603_HandSoldering","Unpolarized capacitor","","http://www.digikey.com/product-detail/en/GRM188R71C104KA01D/490-1532-1-ND/587771","490-1532-1-ND","","","",""
"C10, C9, C8, C11, C12, ","5","0.1u","C","Capacitors_SMD:C_0603","Unpolarized capacitor","","","490-1532-1-ND","","","",""
"CON1, ","1","USB-MICRO-B","USB-MICRO-B","nucleo:USB_micro_AB","USB Mini B connector","","http://www.digikey.com/product-detail/en/10104111-0001LF/609-4053-1-ND/2350359","609-4053-1-ND","http://www.digikey.com/product-detail/en/10104111-0001LF/609-4053-1-ND","","",""
"D1, ","1","Red","Led_Small","nucleo:LED_0603","Led","","http://optoelectronics.liteon.com/upload/download/DS22-2000-223/S_110_LTST-C191KRKT.pdf","160-1447-1-ND","http://www.digikey.com/product-detail/en/LTST-C191KRKT/160-1447-1-ND/386836","","",""
"D2, ","1","Yellow","Led_Small","nucleo:LED_0603","Led","","http://optoelectronics.liteon.com/upload/download/DS22-2000-224/S_110_LTST-C191KSKT.pdf","160-1448-1-ND","http://www.digikey.com/product-detail/en/LTST-C191KSKT/160-1448-1-ND","","",""
"D3, ","1","Green","Led_Small","nucleo:LED_0603","Led","","http://optoelectronics.liteon.com/upload/download/DS22-2000-228/S_110_LTST-C191KGKT.pdf","160-1446-1-ND","http://www.digikey.com/product-detail/en/LTST-C191KGKT/160-1446-1-ND","","",""
"D4, ","1","Blue","Led_Small","nucleo:LED_0603","Led","","http://optoelectronics.liteon.com/upload/download/DS22-2000-230/S_110_LTST-C191TBKT.pdf","160-1647-1-ND","http://www.digikey.com/product-detail/en/LTST-C191TBKT/160-1647-1-ND","","",""
"J1, ","1","EXT1","RJ45","nucleo:RJ45_SMD","","","http://www.digikey.com/product-detail/en/RJLSE4238101T/RJLSE4238101TTR-ND/1979556","RJLSE4238101TTR-ND","http://www.digikey.com/product-detail/en/RJLSE4238101T/RJLSE4238101TTR-ND/1979556","","",""
"J2, ","1","EXT2","RJ45","nucleo:RJ45_SMD","","","http://www.digikey.com/product-detail/en/RJLSE4238101T/RJLSE4238101TTR-ND/1979556","RJLSE4238101TTR-ND","http://www.digikey.com/product-detail/en/RJLSE4238101T/RJLSE4238101TTR-ND/1979556","","",""
"J3, ","1","EXTPower","RJ45","nucleo:RJ45_SMD","","","http://www.digikey.com/product-detail/en/RJLSE4238101T/RJLSE4238101TTR-ND/1979556","RJLSE4238101TTR-ND","http://www.digikey.com/product-detail/en/RJLSE4238101T/RJLSE4238101TTR-ND/1979556","","",""
"JP19, JP17, JP9, JP6, ","4","Jumper_NO_Small","Jumper_NO_Small","nucleo:SB_NO","Jumper normally open","","","","","","",""
"JP53, JP54, JP55, JP56, JP20, JP21, JP22, JP23, JP30, JP31, JP16, JP18, JP8, JP34, JP32, JP7, JP41, JP57, JP59, JP43, ","20","Jumper_NC_Small","Jumper_NC_Small","nucleo:SB_NC","Jumper normally close","","","","","","",""
"L4, L3, ","2","600 Ohm","L_Small","Resistors_SMD:R_0603_HandSoldering","Inductor","","http://www.digikey.com/product-detail/en/MI0603J601R-10/240-2371-1-ND/806731","240-2371-1-ND","http://www.digikey.com/product-detail/en/MI0603J601R-10/240-2371-1-ND/","","",""
"P1, ","1","Power","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02","","","","","","","",""
"P10, ","1","OW2_A","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03","","","","","","","",""
"P11, ","1","GND1","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02","","","","","","","",""
"P12, ","1","I2C1_B","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04","","","","","","","",""
"P13, ","1","I2C2_B","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04","","","","","","","",""
"P14, ","1","SW_1_6","CONN_02X06","Pin_Headers:Pin_Header_Straight_2x06","","","","","","","",""
"P15, ","1","WS1","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02","","","","","","","",""
"P16, ","1","WS2","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02","","","","","","","",""
"P17, ","1","MS2","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03","","","","","","","",""
"P18, ","1","WS3","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02","","","","","","","",""
"P19, ","1","WS4","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02","","","","","","","",""
"P2, ","1","VinPower","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02","","","","","","","",""
"P20, ","1","GND2","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02","","","","","","","",""
"P21, P26, P27, ","3","Hole","CONN_01X01","nucleo:plat_hole_4_20","","","","","","","",""
"P22, ","1","MS3","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03","","","","","","","",""
"P23, ","1","OW3_A","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03","","","","","","","",""
"P24, ","1","OW4_A","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03","","","","","","","",""
"P25, ","1","MS4","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03","","","","","","","",""
"P28, ","1","RGB1","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04","","","","","","","",""
"P29, ","1","Ant","CONN_01X01","Pin_Headers:Pin_Header_Straight_1x01","","","","","","","",""
"P3, ","1","USART2","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04","","","","","","","",""
"P30, ","1","Hole","CONN_01X01","Mounting_Holes:MountingHole_3mm","","","","","","","",""
"P4, ","1","SWD Header","CONN_01X06","Pin_Headers:Pin_Header_Straight_1x06","","","","","","","",""
"P5, ","1","USART1","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04","","","","","","","",""
"P6, ","1","MS1","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03","","","","","","","",""
"P7, ","1","I2C1_A","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04","","","","","","","",""
"P8, ","1","I2C2_A","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04","","","","","","","",""
"P9, ","1","OW1_A","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03","","","","","","","",""
"Q1, ","1","SI2323DS","Q_PMOS_GSD","nucleo:TO-236","Transistor P-MOSFET (general)","","http://www.vishay.com/docs/72024/72024.pdf","SI2323DS-T1-E3CT-ND","","","",""
"R1, ","1","10K","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","P10KGCT-ND","http://www.digikey.com/product-detail/en/ERJ-3GEYJ103V/P10KGCT-ND/134717","","",""
"R14, R16, ","2","100k","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","RMCF0603FT100KTR-ND","http://www.digikey.com/product-detail/en/RMCF0603FT100K/RMCF0603FT100KTR-ND","","",""
"R2, ","1","2.20k 1%","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","P2.20KHCT-ND","","","",""
"R20, R18, R17, R19, ","4","2.2k","R_Small","Resistors_SMD:R_0603_HandSoldering","Resistor","","","P2.2KGCT-ND","","","",""
